"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"1012","19","Reactome Pathways","","Innate Immune System","0.001","CD4|CAT|CFP|FCN3|FCN2|ANPEP|FGB|FOS|COLEC10|HBB|CPN1|PGM1|CAP1|PROS1|PLAC8|COLEC11|C1R|TXNIP|FPR1","17100","4460|4426|4341|4302|4301|4311|4407|4415|4436|4386|4443|4406|4408|4304|4342|4433|4439|4323|4339","","HSA-168249","0"
"130","7","Reactome Pathways","","Response to elevated platelet cytosolic Ca2+","0.001","APOA1|FGB|TLN1|ECM1|CAP1|PROS1|ITIH3","17100","4411|4407|4328|4382|4408|4304|4435","","HSA-76005","0"
"4353","47","UniProt Keywords","","Glycoprotein","0.0011","CD4|DCN|TNFRSF1A|CETP|F9|APOA1|RAMP3|CFP|LYVE1|KLKB1|ITGA9|HPX|FCN3|CERS2|CRHBP|FCN2|CLEC1B|AVPR1A|ANPEP|FGB|CES2|CALR|LPA|COLEC10|HBB|GANAB|CYP1A2|ADAMTSL2|CNDP1|HLA-DRB1|ECM1|CPN1|IGFBP3|DBH|PROS1|MFAP4|APOF|PLXNB2|ITIH3|IGFALS|LY6E|C1R|AKT1|LDLR|GDF2|FPR1|GHR","17100","4460|4418|4420|4336|4423|4411|4437|4341|4456|4465|4431|4346|4302|4432|4309|4301|4402|4414|4311|4407|4330|4375|4326|4436|4386|4444|4371|4397|4307|4378|4382|4443|4315|4389|4304|4459|4351|4372|4435|4324|4332|4439|4312|4449|4362|4339|4394","","KW-0325","0"
"1098","20","GO Process","","negative regulation of multicellular organismal process","0.0011","DCN|TNFRSF1A|HMOX1|OXT|APOA1|KLKB1|CERS2|CRHBP|AVPR1A|FGB|CALR|HLA-DRB1|ECM1|XDH|PROS1|PLAC8|LDLR|GDF2|ZFP36|HAMP","17100","4418|4420|4352|4387|4411|4465|4432|4309|4414|4407|4375|4378|4382|4450|4304|4342|4449|4362|4310|4376","","GO.0051241","0"
"233","9","GO Process","","response to alcohol","0.0011","OXT|CAT|CRHBP|AVPR1A|FOS|DBH|AKT1|HAMP|GHR","17100","4387|4426|4309|4414|4415|4389|4312|4376|4394","","GO.0097305","0"
"510","13","GO Process","","endocytosis","0.0012","APOA1|RAMP3|HBA2|HPX|FCN3|FCN2|CALR|HBB|CAP1|SRPX|COLEC11|LDLR|GHR","17100","4411|4437|4413|4346|4302|4301|4375|4386|4408|4379|4433|4449|4394","","GO.0006897","0"
"1609","25","GO Process","","organic substance catabolic process","0.0012","DCN|HMOX1|CYP26A1|EHHADH|APOA1|RNF11|DMGDH|LYVE1|SDS|BTBD1|FTCD|ANPEP|UBA1|CYP1A2|CPN1|PGM1|AKR1A1|XDH|SQSTM1|DBH|AADAT|AKT1|LDLR|ZFP36|HAO2","17100","4418|4352|4366|4425|4411|4381|4300|4456|4314|4349|4392|4311|4373|4371|4443|4406|4410|4450|4329|4389|4453|4312|4449|4310|4357","","GO.1901575","0"
"1119","20","GO Process","","negative regulation of molecular function","0.0013","DCN|HMOX1|APOA1|CAT|RAMP3|CRHBP|BAX|LPA|SOCS3|IFI6|ADAR|ECM1|DUSP5|PRKAR1A|PROS1|ITIH3|AKT1|TXNIP|ZFP36|HAMP","17100","4418|4352|4411|4426|4437|4309|4463|4326|4345|4442|4388|4382|4409|4322|4304|4435|4312|4323|4310|4376","","GO.0044092","0"
"2054","29","GO Process","","positive regulation of response to stimulus","0.0013","CD4|DCN|TNFRSF1A|APOA1|CAT|RAMP3|CFP|KLKB1|HPX|FCN3|FCN2|BAX|FGB|CALR|SOCS3|COLEC10|HLA-DRB1|DUSP5|SRPX|XDH|IGFBP3|COLEC11|CXCL2|C1R|AKT1|LDLR|GDF2|FPR1|GHR","17100","4460|4418|4420|4411|4426|4437|4341|4465|4346|4302|4301|4463|4407|4375|4345|4436|4378|4409|4379|4450|4315|4433|4391|4439|4312|4449|4362|4339|4394","","GO.0048584","0"
"183","8","GO Process","","response to ketone","0.0013","OXT|AVPR1A|FOS|CALR|ASS1|AKT1|TXNIP|GHR","17100","4387|4414|4415|4375|4457|4312|4323|4394","","GO.1901654","0"
"11740","96","GO Process","","biological regulation","0.0014","CD4|DCN|TNFRSF1A|CETP|HMOX1|OXT|F9|CYP26A1|CEBPZ|APOA1|CAT|RAMP3|CFP|HBA2|DMGDH|LYVE1|SDS|LRPPRC|BTBD1|KLKB1|ITGA9|HPX|FCN3|CERS2|CRHBP|PLIN2|FCN2|BAX|CLEC1B|AVPR1A|ANPEP|UBTF|FGB|FOS|MT1E|RND1|TLN1|CALR|LPA|ZYX|SOCS3|COLEC10|HBB|CYP1A2|IFI6|ADAMTSL2|CNDP1|HLA-DRB1|ETS2|ADAR|ECM1|APH1A|PHGDH|DUSP5|CPN1|ASS1|CAP1|STK40|RPRD1B|YTHDF2|RND3|TDP2|SRPX|XDH|IGFBP3|IDI1|SQSTM1|HDLBP|PRKAR1A|DBH|PROS1|SEC31A|MFAP4|PLAC8|DNAJC7|PLXNB2|DNTTIP2|COLEC11|MBD3|ITIH3|IGFALS|CXCL2|LY6E|PUF60|C1R|AKT1|LDLR|TXNIP|GDF2|ZFP36|FPR1|HAMP|TRAPPC3|SRRT|LSR|GHR","17100","4460|4418|4420|4336|4352|4387|4423|4366|4464|4411|4426|4437|4341|4413|4300|4456|4314|4458|4349|4465|4431|4346|4302|4432|4309|4428|4301|4463|4402|4414|4311|4398|4407|4415|4333|4393|4328|4375|4326|4462|4345|4436|4386|4371|4442|4397|4307|4378|4308|4388|4382|4343|4400|4409|4443|4457|4408|4430|4354|4452|4390|4370|4379|4450|4315|4335|4329|4305|4322|4389|4304|4358|4459|4342|4424|4372|4316|4433|4451|4435|4324|4391|4332|4447|4439|4312|4449|4323|4362|4310|4339|4376|4359|4440|4412|4394","","GO.0065007","0"
"110","6","UniProt Keywords","","Lipid transport","0.0015","CETP|APOA1|LPA|HDLBP|APOF|LDLR","17100","4336|4411|4326|4305|4351|4449","","KW-0445","0"
"4130","46","GO Process","","transport","0.0015","CETP|F9|EHHADH|APOA1|CAT|RAMP3|CFP|HBA2|LRPPRC|HPX|FCN3|CRHBP|PLIN2|FCN2|BAX|ANPEP|FGB|TLN1|CALR|LPA|SLC25A20|HBB|GUK1|ADAR|ECM1|PGM1|CAP1|SRPX|XDH|SQSTM1|HDLBP|PROS1|SEC31A|APOF|MCFD2|PLAC8|COLEC11|ITIH3|AKT1|LDLR|TXNIP|ZFP36|FPR1|TRAPPC3|GHR|HAO2","17100","4336|4423|4425|4411|4426|4437|4341|4413|4458|4346|4302|4309|4428|4301|4463|4311|4407|4328|4375|4326|4448|4386|4396|4388|4382|4406|4408|4379|4450|4329|4305|4304|4358|4351|4380|4342|4433|4435|4312|4449|4323|4310|4339|4359|4394|4357","","GO.0006810","0"
"691","15","GO Process","","regulated exocytosis","0.0016","APOA1|CAT|CFP|CRHBP|ANPEP|FGB|TLN1|HBB|ECM1|PGM1|CAP1|PROS1|PLAC8|ITIH3|FPR1","17100","4411|4426|4341|4309|4311|4407|4328|4386|4382|4406|4408|4304|4342|4435|4339","","GO.0045055","0"
"455","12","GO Process","","response to nutrient levels","0.0017","CD4|HMOX1|OXT|CYP26A1|APOA1|CAT|ASS1|MBD3|AKT1|LDLR|ZFP36|HAMP","17100","4460|4352|4387|4366|4411|4426|4457|4451|4312|4449|4310|4376","","GO.0031667","0"
"6212","61","GO Process","","cellular response to stimulus","0.0017","CD4|DCN|TNFRSF1A|HMOX1|OXT|CYP26A1|APOA1|CAT|RAMP3|HBA2|LYVE1|ITGA9|CRHBP|BAX|LAPTM5|CLEC1B|AVPR1A|ANPEP|FGB|FOS|MT1E|RND1|TLN1|CES2|CALR|ZYX|SOCS3|HBB|UBA1|CYP1A2|IFI6|HLA-DRB1|FMO3|ADAR|ECM1|APH1A|PHGDH|DUSP5|CYP2C8|ASS1|CAP1|RND3|TDP2|SRPX|SQSTM1|PRKAR1A|SEC31A|MFAP4|PLXNB2|IGFALS|CXCL2|LY6E|AKT1|LDLR|TXNIP|GDF2|ZFP36|FPR1|HAMP|SRRT|GHR","17100","4460|4418|4420|4352|4387|4366|4411|4426|4437|4413|4456|4431|4309|4463|4454|4402|4414|4311|4407|4415|4333|4393|4328|4330|4375|4462|4345|4386|4373|4371|4442|4378|4455|4388|4382|4343|4400|4409|4368|4457|4408|4390|4370|4379|4329|4322|4358|4459|4372|4324|4391|4332|4312|4449|4323|4362|4310|4339|4376|4440|4394","","GO.0051716","0"
"959","18","GO Process","","positive regulation of intracellular signal transduction","0.0017","CD4|DCN|TNFRSF1A|APOA1|CAT|RAMP3|HPX|BAX|FGB|CALR|SOCS3|HLA-DRB1|DUSP5|XDH|IGFBP3|AKT1|FPR1|GHR","17100","4460|4418|4420|4411|4426|4437|4346|4463|4407|4375|4345|4378|4409|4450|4315|4312|4339|4394","","GO.1902533","0"
"256","9","Reactome Pathways","","Platelet activation, signaling and aggregation","0.0017","APOA1|CLEC1B|FGB|TLN1|ECM1|CAP1|PROS1|ITIH3|AKT1","17100","4411|4402|4407|4328|4382|4408|4304|4435|4312","","HSA-76002","0"
"388","11","GO Process","","generation of precursor metabolites and energy","0.0018","CAT|DMGDH|AVPR1A|CYP1A2|PHGDH|PGM1|AKR1A1|STK40|XDH|ADH1C|AKT1","17100","4426|4300|4414|4371|4400|4406|4410|4430|4450|4438|4312","","GO.0006091","0"
"1560","24","GO Process","","immune response","0.0018","CD4|TNFRSF1A|CAT|CFP|FCN3|FCN2|ANPEP|FGB|ZYX|COLEC10|HBB|IFI6|HLA-DRB1|ADAR|PGM1|ASS1|CAP1|YTHDF2|PLAC8|COLEC11|CXCL2|C1R|FPR1|HAMP","17100","4460|4420|4426|4341|4302|4301|4311|4407|4462|4436|4386|4442|4378|4388|4406|4457|4408|4452|4342|4433|4391|4439|4339|4376","","GO.0006955","0"
"6516","63","GO Process","","regulation of metabolic process","0.0018","CD4|DCN|TNFRSF1A|HMOX1|CEBPZ|APOA1|CAT|RAMP3|CFP|LRPPRC|BTBD1|KLKB1|HPX|FCN3|PLIN2|BAX|AVPR1A|UBTF|FGB|FOS|CALR|LPA|SOCS3|HBB|CYP1A2|IFI6|CNDP1|HLA-DRB1|ETS2|ADAR|ECM1|PHGDH|DUSP5|CPN1|ASS1|STK40|RPRD1B|YTHDF2|TDP2|XDH|IGFBP3|IDI1|SQSTM1|PRKAR1A|PROS1|MFAP4|PLAC8|PLXNB2|DNTTIP2|MBD3|ITIH3|PUF60|C1R|AKT1|LDLR|TXNIP|GDF2|ZFP36|FPR1|HAMP|SRRT|LSR|GHR","17100","4460|4418|4420|4352|4464|4411|4426|4437|4341|4458|4349|4465|4346|4302|4428|4463|4414|4398|4407|4415|4375|4326|4345|4386|4371|4442|4307|4378|4308|4388|4382|4400|4409|4443|4457|4430|4354|4452|4370|4450|4315|4335|4329|4322|4304|4459|4342|4372|4316|4451|4435|4447|4439|4312|4449|4323|4362|4310|4339|4376|4440|4412|4394","","GO.0019222","0"
"11116","92","GO Process","","regulation of biological process","0.0018","CD4|DCN|TNFRSF1A|CETP|HMOX1|OXT|CYP26A1|CEBPZ|APOA1|CAT|RAMP3|CFP|HBA2|LYVE1|LRPPRC|BTBD1|KLKB1|ITGA9|HPX|FCN3|CERS2|CRHBP|PLIN2|FCN2|BAX|CLEC1B|AVPR1A|ANPEP|UBTF|FGB|FOS|MT1E|RND1|TLN1|CALR|LPA|ZYX|SOCS3|COLEC10|HBB|CYP1A2|IFI6|ADAMTSL2|CNDP1|HLA-DRB1|ETS2|ADAR|ECM1|APH1A|PHGDH|DUSP5|CPN1|ASS1|CAP1|STK40|RPRD1B|YTHDF2|RND3|TDP2|SRPX|XDH|IGFBP3|IDI1|SQSTM1|HDLBP|PRKAR1A|DBH|PROS1|SEC31A|MFAP4|PLAC8|DNAJC7|PLXNB2|DNTTIP2|COLEC11|MBD3|ITIH3|IGFALS|CXCL2|LY6E|PUF60|C1R|AKT1|LDLR|TXNIP|GDF2|ZFP36|FPR1|HAMP|SRRT|LSR|GHR","17100","4460|4418|4420|4336|4352|4387|4366|4464|4411|4426|4437|4341|4413|4456|4458|4349|4465|4431|4346|4302|4432|4309|4428|4301|4463|4402|4414|4311|4398|4407|4415|4333|4393|4328|4375|4326|4462|4345|4436|4386|4371|4442|4397|4307|4378|4308|4388|4382|4343|4400|4409|4443|4457|4408|4430|4354|4452|4390|4370|4379|4450|4315|4335|4329|4305|4322|4389|4304|4358|4459|4342|4424|4372|4316|4433|4451|4435|4324|4391|4332|4447|4439|4312|4449|4323|4362|4310|4339|4376|4440|4412|4394","","GO.0050789","0"
"92","6","GO Function","","monooxygenase activity","0.0019","CYP26A1|CYP1A2|FMO3|CYP2C8|CYP4A22|DBH","17100","4366|4371|4455|4368|4384|4389","","GO.0004497","0"
"1370","22","GO Process","","regulation of protein phosphorylation","0.0019","CD4|DCN|TNFRSF1A|APOA1|RAMP3|HPX|BAX|FGB|SOCS3|HLA-DRB1|ADAR|DUSP5|STK40|XDH|IGFBP3|SQSTM1|PRKAR1A|PLXNB2|AKT1|GDF2|FPR1|GHR","17100","4460|4418|4420|4411|4437|4346|4463|4407|4345|4378|4388|4409|4430|4450|4315|4329|4322|4372|4312|4362|4339|4394","","GO.0001932","0"
"393","11","GO Process","","activation of immune response","0.0019","CD4|CFP|FCN3|FCN2|BAX|FGB|COLEC10|HLA-DRB1|COLEC11|C1R|FPR1","17100","4460|4341|4302|4301|4463|4407|4436|4378|4433|4439|4339","","GO.0002253","0"
"882","17","GO Process","","positive regulation of immune system process","0.0019","CD4|HMOX1|CFP|HPX|FCN3|FCN2|BAX|FGB|FOS|CALR|COLEC10|HLA-DRB1|COLEC11|CXCL2|C1R|AKT1|FPR1","17100","4460|4352|4341|4346|4302|4301|4463|4407|4415|4375|4436|4378|4433|4391|4439|4312|4339","","GO.0002684","0"
"708","15","GO Process","","ion homeostasis","0.0019","CD4|DCN|CETP|HMOX1|OXT|APOA1|RAMP3|HPX|BAX|AVPR1A|CALR|IFI6|GDF2|FPR1|HAMP","17100","4460|4418|4336|4352|4387|4411|4437|4346|4463|4414|4375|4442|4362|4339|4376","","GO.0050801","0"
"467","12","GO Process","","cofactor metabolic process","0.0019","HMOX1|CAT|HBA2|HPX|FTCD|HBB|CYP1A2|PGM1|AKR1A1|AADAT|AKT1|GHR","17100","4352|4426|4413|4346|4392|4386|4371|4406|4410|4453|4312|4394","","GO.0051186","0"
"2222","30","GO Process","","multi-organism process","0.0019","CD4|DCN|TNFRSF1A|OXT|CFP|HPX|FCN3|CRHBP|FCN2|BAX|AVPR1A|ANPEP|FGB|FOS|TLN1|CALR|ZYX|CYP1A2|HLA-DRB1|ADAR|ASS1|YTHDF2|PRKAR1A|PLAC8|COLEC11|CXCL2|AKT1|LDLR|ZFP36|HAMP","17100","4460|4418|4420|4387|4341|4346|4302|4309|4301|4463|4414|4311|4407|4415|4328|4375|4462|4371|4378|4388|4457|4452|4322|4342|4433|4391|4312|4449|4310|4376","","GO.0051704","0"
"1447","22","GO Component","","cytoplasmic vesicle part","0.002","CD4|APOA1|CAT|CFP|HBA2|HPX|ANPEP|FGB|CALR|HBB|HLA-DRB1|ECM1|PGM1|CAP1|DBH|PROS1|SEC31A|MCFD2|PLAC8|ITIH3|LDLR|FPR1","17100","4460|4411|4426|4341|4413|4346|4311|4407|4375|4386|4378|4382|4406|4408|4389|4304|4358|4380|4342|4435|4449|4339","","GO.0044433","0"
"30","4","Reactome Pathways","","Plasma lipoprotein remodeling","0.002","CETP|APOA1|LPA|APOF","17100","4336|4411|4326|4351","","HSA-8963899","0"
"900","17","GO Process","","response to drug","0.0022","HMOX1|OXT|APOA1|CAT|HBA2|CRHBP|PLIN2|FOS|CALR|HBB|CYP1A2|CYP2C8|ASS1|DBH|TXNIP|HAMP|GHR","17100","4352|4387|4411|4426|4413|4309|4428|4415|4375|4386|4371|4368|4457|4389|4323|4376|4394","","GO.0042493","0"
"482","12","GO Process","","inflammatory response","0.0023","TNFRSF1A|HMOX1|KLKB1|CRHBP|FOS|HLA-DRB1|ECM1|ASS1|CXCL2|AKT1|FPR1|HAMP","17100","4420|4352|4465|4309|4415|4378|4382|4457|4391|4312|4339|4376","","GO.0006954","0"
"31","4","GO Process","","hydrogen peroxide metabolic process","0.0023","CAT|HBA2|HBB|CYP1A2","17100","4426|4413|4386|4371","","GO.0042743","0"
"1286","21","GO Process","","positive regulation of developmental process","0.0023","CD4|DCN|TNFRSF1A|HMOX1|OXT|APOA1|BAX|FGB|FOS|CALR|SOCS3|HLA-DRB1|ECM1|IGFBP3|PLXNB2|AKT1|GDF2|ZFP36|HAMP|SRRT|GHR","17100","4460|4418|4420|4352|4387|4411|4463|4407|4415|4375|4345|4378|4382|4315|4372|4312|4362|4310|4376|4440|4394","","GO.0051094","0"
"12432","98","GO Component","","organelle","0.0024","CD4|DCN|TNFRSF1A|CETP|HMOX1|OXT|F9|CYP26A1|EHHADH|CEBPZ|APOA1|CAT|RAMP3|RNF11|CFP|HBA2|DMGDH|SDS|LRPPRC|BTBD1|HPX|CERS2|CRHBP|PLIN2|FTCD|BAX|LAPTM5|AVPR1A|LDHD|ANPEP|UBTF|FGB|FOS|MT1E|RND1|TLN1|CES2|CALR|ZYX|SLC25A20|COLEC10|HBB|UBA1|GANAB|CYP1A2|IFI6|HLA-DRB1|ETS2|MRPL24|CSRP1|FMO3|ADAR|MRPL9|ECM1|APH1A|BCAS2|DUSP5|CPN1|PGM1|CYP2C8|CYP4A22|ASS1|CAP1|STK40|RPRD1B|YTHDF2|RND3|TDP2|SRPX|XDH|IGFBP3|IDI1|SQSTM1|HDLBP|PRKAR1A|DBH|PROS1|SEC31A|MCFD2|PLAC8|DNAJC7|DNTTIP2|MBD3|ITIH3|IGFALS|AADAT|ADH1C|PUF60|AKT1|LDLR|TXNIP|POLRMT|ZFP36|FPR1|TRAPPC3|SRRT|GHR|HAO2","17100","4460|4418|4420|4336|4352|4387|4423|4366|4425|4464|4411|4426|4437|4381|4341|4413|4300|4314|4458|4349|4346|4432|4309|4428|4392|4463|4454|4414|4350|4311|4398|4407|4415|4333|4393|4328|4330|4375|4462|4448|4436|4386|4373|4444|4371|4442|4378|4308|4363|4395|4455|4388|4401|4382|4343|4405|4409|4443|4406|4368|4384|4457|4408|4430|4354|4452|4390|4370|4379|4450|4315|4335|4329|4305|4322|4389|4304|4358|4380|4342|4424|4316|4451|4435|4324|4453|4438|4447|4312|4449|4323|4317|4310|4339|4359|4440|4394|4357","","GO.0043226","0"
"147","7","GO Function","","iron ion binding","0.0024","CYP26A1|HBA2|CALR|CYP1A2|CYP2C8|CYP4A22|XDH","17100","4366|4413|4375|4371|4368|4384|4450","","GO.0005506","0"
"629","14","GO Function","","peptidase activity","0.0024","F9|CFP|KLKB1|FCN3|FCN2|ANPEP|LPA|COLEC10|ADAMTSL2|CNDP1|APH1A|CPN1|COLEC11|C1R","17100","4423|4341|4465|4302|4301|4311|4326|4436|4397|4307|4343|4443|4433|4439","","GO.0008233","0"
"150","7","GO Function","","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","0.0024","HMOX1|CYP26A1|CYP1A2|FMO3|CYP2C8|CYP4A22|DBH","17100","4352|4366|4371|4455|4368|4384|4389","","GO.0016705","0"
"9","3","GO Function","","oxidoreductase activity, acting on CH or CH2 groups","0.0024","CYP1A2|CYP2C8|XDH","17100","4371|4368|4450","","GO.0016725","0"
"32","4","Reactome Pathways","","Plasma lipoprotein clearance","0.0024","APOA1|HDLBP|LDLR|LSR","17100","4411|4305|4449|4412","","HSA-8964043","0"
"732","15","GO Process","","regulation of response to external stimulus","0.0025","TNFRSF1A|APOA1|CFP|KLKB1|CERS2|FGB|CALR|ZYX|SOCS3|HLA-DRB1|CPN1|PROS1|CXCL2|C1R|LDLR","17100","4420|4411|4341|4465|4432|4407|4375|4462|4345|4378|4443|4304|4391|4439|4449","","GO.0032101","0"
"214","8","Reactome Pathways","","Biological oxidations","0.0025","CYP26A1|CES2|CYP1A2|FMO3|CYP2C8|CYP4A22|AKR1A1|ADH1C","17100","4366|4330|4371|4455|4368|4384|4410|4438","","HSA-211859","0"
"274","9","GO Function","","coenzyme binding","0.0026","CAT|SDS|LDHD|FMO3|PHGDH|XDH|DBH|AADAT|HAO2","17100","4426|4314|4350|4455|4400|4450|4389|4453|4357","","GO.0050662","0"
"305","9","UniProt Keywords","","Iron","0.0026","HMOX1|CYP26A1|CAT|HPX|HBB|CYP1A2|CYP2C8|CYP4A22|XDH","17100","4352|4366|4426|4346|4386|4371|4368|4384|4450","","KW-0408","0"
"569","13","GO Process","","small molecule biosynthetic process","0.0026","DCN|APOA1|SDS|CYP1A2|GUK1|PHGDH|PGM1|CYP2C8|AKR1A1|ASS1|XDH|IDI1|DBH","17100","4418|4411|4314|4371|4396|4400|4406|4368|4410|4457|4450|4335|4389","","GO.0044283","0"
"655","14","GO Process","","cytokine-mediated signaling pathway","0.0027","CD4|DCN|TNFRSF1A|HMOX1|FOS|SOCS3|IFI6|HLA-DRB1|ADAR|SQSTM1|CXCL2|AKT1|FPR1|GHR","17100","4460|4418|4420|4352|4415|4345|4442|4378|4388|4329|4391|4312|4339|4394","","GO.0019221","0"
"33","4","GO Process","","positive regulation of vasoconstriction","0.0028","AVPR1A|FGB|DBH|AKT1","17100","4414|4407|4389|4312","","GO.0045907","0"
"11","3","GO Process","","cellular response to granulocyte macrophage colony-stimulating factor stimulus","0.0028","CD4|AKT1|ZFP36","17100","4460|4312|4310","","GO.0097011","0"
"158","7","GO Process","","regulation of extrinsic apoptotic signaling pathway","0.0028","HMOX1|BAX|FGB|IFI6|SRPX|DBH|AKT1","17100","4352|4463|4407|4442|4379|4389|4312","","GO.2001236","0"
"34","4","GO Process","","zymogen activation","0.0029","F9|KLKB1|FGB|C1R","17100","4423|4465|4407|4439","","GO.0031638","0"
"281","9","GO Process","","negative regulation of response to external stimulus","0.0029","TNFRSF1A|APOA1|KLKB1|CERS2|FGB|SOCS3|HLA-DRB1|PROS1|LDLR","17100","4420|4411|4465|4432|4407|4345|4378|4304|4449","","GO.0032102","0"
"1638","24","GO Process","","regulation of cell death","0.003","TNFRSF1A|HMOX1|CAT|RAMP3|HBA2|BAX|FGB|FOS|CALR|SOCS3|HBB|IFI6|ADAR|STK40|SRPX|XDH|IGFBP3|SQSTM1|DBH|PLAC8|AKT1|TXNIP|GDF2|ZFP36","17100","4420|4352|4426|4437|4413|4463|4407|4415|4375|4345|4386|4442|4388|4430|4379|4450|4315|4329|4389|4342|4312|4323|4362|4310","","GO.0010941","0"
"162","7","GO Process","","cellular response to metal ion","0.003","HMOX1|CRHBP|FOS|MT1E|CALR|CYP1A2|AKT1","17100","4352|4309|4415|4333|4375|4371|4312","","GO.0071248","0"
"129","6","UniProt Keywords","","Microsome","0.0031","HMOX1|CYP26A1|CYP1A2|FMO3|CYP2C8|CYP4A22","17100","4352|4366|4371|4455|4368|4384","","KW-0492","0"
"285","9","GO Process","","alcohol metabolic process","0.0031","CETP|APOA1|CAT|IDI1|HDLBP|DBH|APOF|ADH1C|LDLR","17100","4336|4411|4426|4335|4305|4389|4351|4438|4449","","GO.0006066","0"
"8808","77","GO Process","","primary metabolic process","0.0031","DCN|TNFRSF1A|CETP|F9|CYP26A1|EHHADH|CEBPZ|APOA1|CAT|RNF11|CFP|SDS|LRPPRC|BTBD1|KLKB1|HPX|FCN3|CERS2|FTCD|FCN2|BAX|CLEC1B|ANPEP|UBTF|FGB|FOS|CES2|CALR|LPA|SOCS3|COLEC10|UBA1|GANAB|CYP1A2|ADAMTSL2|CNDP1|ETS2|MRPL24|GUK1|ADAR|MRPL9|APH1A|PHGDH|BCAS2|DUSP5|CPN1|PGM1|CYP2C8|CYP4A22|AKR1A1|ASS1|STK40|RPRD1B|TDP2|XDH|IGFBP3|IDI1|SQSTM1|HDLBP|GNE|APOF|DNTTIP2|COLEC11|MBD3|IGFALS|AADAT|PUF60|C1R|AKT1|LDLR|TXNIP|GDF2|POLRMT|ZFP36|SRRT|GHR|HAO2","17100","4418|4420|4336|4423|4366|4425|4464|4411|4426|4381|4341|4314|4458|4349|4465|4346|4302|4432|4392|4301|4463|4402|4311|4398|4407|4415|4330|4375|4326|4345|4436|4373|4444|4371|4397|4307|4308|4363|4396|4388|4401|4343|4400|4405|4409|4443|4406|4368|4384|4410|4457|4430|4354|4370|4450|4315|4335|4329|4305|4334|4351|4316|4433|4451|4324|4453|4447|4439|4312|4449|4323|4362|4317|4310|4440|4394|4357","","GO.0044238","0"
"70","5","GO Process","","regulation of humoral immune response","0.0033","CFP|HPX|CPN1|PROS1|C1R","17100","4341|4346|4443|4304|4439","","GO.0002920","0"
"676","14","GO Process","","regulation of defense response","0.0034","TNFRSF1A|APOA1|CFP|KLKB1|HPX|FGB|ZYX|SOCS3|HLA-DRB1|ADAR|CPN1|PROS1|C1R|LDLR","17100","4420|4411|4341|4465|4346|4407|4462|4345|4378|4388|4443|4304|4439|4449","","GO.0031347","0"
"5982","58","GO Process","","regulation of primary metabolic process","0.0034","CD4|DCN|TNFRSF1A|HMOX1|CEBPZ|APOA1|CAT|RAMP3|CFP|LRPPRC|BTBD1|KLKB1|HPX|FCN3|PLIN2|BAX|AVPR1A|UBTF|FGB|FOS|CALR|LPA|SOCS3|IFI6|CNDP1|HLA-DRB1|ETS2|ADAR|ECM1|DUSP5|CPN1|STK40|RPRD1B|YTHDF2|TDP2|XDH|IGFBP3|IDI1|SQSTM1|PRKAR1A|PROS1|PLAC8|PLXNB2|DNTTIP2|MBD3|ITIH3|PUF60|C1R|AKT1|LDLR|TXNIP|GDF2|ZFP36|FPR1|HAMP|SRRT|LSR|GHR","17100","4460|4418|4420|4352|4464|4411|4426|4437|4341|4458|4349|4465|4346|4302|4428|4463|4414|4398|4407|4415|4375|4326|4345|4442|4307|4378|4308|4388|4382|4409|4443|4430|4354|4452|4370|4450|4315|4335|4329|4322|4304|4342|4372|4316|4451|4435|4447|4439|4312|4449|4323|4362|4310|4339|4376|4440|4412|4394","","GO.0080090","0"
"17","3","UniProt Keywords","","HDL","0.0035","APOA1|HDLBP|APOF","17100","4411|4305|4351","","KW-0345","0"
"46","4","UniProt Keywords","","Blood coagulation","0.0036","F9|KLKB1|FGB|PROS1","17100","4423|4465|4407|4304","","KW-0094","0"
"601","13","Reactome Pathways","","Hemostasis","0.0036","F9|APOA1|KLKB1|CLEC1B|FGB|TLN1|HBB|ECM1|CAP1|PRKAR1A|PROS1|ITIH3|AKT1","17100","4423|4411|4465|4402|4407|4328|4386|4382|4408|4322|4304|4435|4312","","HSA-109582","0"
"13","3","Reactome Pathways","","Scavenging of heme from plasma","0.0036","APOA1|HPX|HBB","17100","4411|4346|4386","","HSA-2168880","0"
"1353","21","GO Process","","response to endogenous stimulus","0.0037","CD4|OXT|CAT|RAMP3|CRHBP|AVPR1A|FGB|FOS|CALR|ZYX|CYP1A2|CPN1|ASS1|PRKAR1A|MBD3|AKT1|LDLR|TXNIP|GDF2|ZFP36|GHR","17100","4460|4387|4426|4437|4309|4414|4407|4415|4375|4462|4371|4443|4457|4322|4451|4312|4449|4323|4362|4310|4394","","GO.0009719","0"
